past_vacancy_city	max past_vacancy_country	count employment_duration_years	avg employment_duration_years
Tilburg	Netherlands	1.0	7.2
Kent	United Kingdom	1.0	6.2
Tuscany	Italy	1.0	5.5
Athens	Greece	1.0	5.0
Baltimore	United States	1.0	4.9
s-Hertogenbosch	Netherlands	1.0	4.8
Cape Town Area	South Africa	1.0	4.7
Novi Sad	Serbia	1.0	4.6
Kiev	Ukraine	2.0	4.5
New York	United States	1.0	4.3
Bengaluru Area	India	1.0	4.3
Gurgaon	India	1.0	3.9
Amsterdam	Netherlands	6.0	3.9
Walnut Creek	United States	1.0	3.5
Hopkinton	United States	1.0	3.5
Schipholrijk	Netherlands	1.0	3.5
Hilversum	Netherlands	1.0	3.1
San Francisco	United States	1.0	3.0
Bratislava	Slovakia	1.0	2.9
Espoo	Finland	1.0	2.3
Recife Area	Brazil	1.0	2.2
São Paulo Area	Brazil	1.0	1.9
Noida Area	India	1.0	1.0
